Trial,RT_s,WritingDuration_s,TotalDuration_s,NumPauses,TotalPauseDuration_s,PauseRate_per_s,MeanPauseDuration_ms,MeanSpeed,MaxSpeed,SpeedSD,MeanAcceleration,MeanJerk,PathLength,StraightLine,Linearity,Width,Height,Area,MeanPressure,PressureSD,WritingEfficiency,SpatialEfficiency
0,1.717,7.947,10.061,17,4.832,2.139,284.24,3445.84,30100.0,3365.33,118108.57,14615771.6,34620.31,5179.7,0.15,6715,2318,15565370,10505.126,3098.175,0.392,0.15
1,1.358,6.239,7.836,14,3.566,2.244,254.71,3296.37,17154.88,3252.09,109607.5,13358923.28,25779.83,4124.91,0.16,4883,2096,10234768,11955.095,3707.147,0.428,0.16
2,3.558,3.796,8.466,8,5.532,2.107,691.5,5252.03,55193.57,7560.97,177378.71,20981520.47,42559.66,3741.61,0.088,5792,7595,43990240,9602.102,2882.568,-0.457,0.088
3,0.759,5.57,7.075,11,3.099,1.975,281.73,5034.2,76832.87,7179.75,179065.11,22537872.96,35589.8,2703.55,0.076,4987,4711,23493757,10739.693,2970.913,0.444,0.076
4,1.249,6.976,8.568,15,3.654,2.15,243.6,4599.85,32984.85,3679.86,153455.74,18868826.72,39485.27,2062.21,0.052,6392,3435,21956520,10034.43,3253.353,0.476,0.052
5,5.484,4.972,11.247,11,7.876,2.212,716.0,3626.91,40510.0,5029.87,142151.09,16961819.51,40846.88,1867.74,0.046,3454,3566,12316964,9283.131,2941.28,-0.584,0.046
6,1.304,7.318,8.846,14,3.512,1.913,250.86,3828.22,36169.74,3793.44,135775.94,17474498.0,33763.14,5000.73,0.148,5877,2915,17131455,9645.039,2596.628,0.52,0.148
7,1.893,7.18,9.227,16,4.614,2.228,288.38,3698.36,30189.57,3785.9,116320.75,13414531.22,34137.63,2505.86,0.073,4845,2930,14195850,9718.735,2529.942,0.357,0.073
8,1.308,3.748,5.289,8,2.198,2.134,274.75,4065.44,29256.96,3924.85,118986.14,12651526.91,21520.37,949.46,0.044,2855,3320,9478600,8905.002,2739.106,0.414,0.044
9,1.284,7.86,9.492,14,3.494,1.781,249.57,3320.17,50228.68,3188.39,99644.22,10812666.46,31403.03,3605.23,0.115,5646,2206,12455076,9199.468,4461.784,0.555,0.115
10,1.582,5.26,7.254,13,3.196,2.471,245.85,4393.39,59154.46,6105.81,159796.07,16915204.75,31856.78,1366.02,0.043,4720,3898,18398560,10479.567,3583.077,0.392,0.043
11,1.599,5.745,7.757,12,3.923,2.089,326.92,4079.93,40131.91,3959.14,136433.61,17179547.37,31638.64,973.69,0.031,5069,3072,15571968,8672.566,2899.763,0.317,0.031
12,1.35,6.104,7.842,15,3.959,2.457,263.93,4754.43,63076.22,6307.99,177964.43,20705585.77,37384.77,1805.55,0.048,5370,3533,18972210,10523.132,3963.801,0.351,0.048
13,2.034,6.167,10.114,13,5.355,2.108,411.92,3774.13,83030.26,5399.5,126781.17,14986371.39,36716.4,3463.05,0.094,5361,3430,18388230,8950.927,3482.869,0.132,0.094
14,0.769,6.572,7.885,11,4.509,1.674,409.91,2888.31,40199.13,4749.31,96744.11,10586863.14,24807.97,4628.45,0.187,6474,3064,19836336,10836.502,3791.867,0.314,0.187
15,1.779,8.488,10.441,17,4.691,2.003,275.94,3010.69,36560.36,3122.12,101777.38,11905149.92,31419.14,2352.08,0.075,5367,1908,10240236,7822.025,2776.154,0.447,0.075
16,1.734,3.031,5.069,8,2.912,2.639,364.0,5632.29,54435.37,6895.95,227072.13,26629348.79,28728.71,806.25,0.028,3881,2875,11157875,9361.236,2791.587,0.039,0.028
17,1.498,5.314,7.16,8,2.988,1.505,373.5,4125.7,37934.81,4187.45,121668.86,13754589.59,29391.64,3096.41,0.105,5763,2147,12373161,7816.163,3330.626,0.438,0.105
18,1.849,11.801,13.839,30,6.411,2.542,213.7,4348.48,42072.91,5335.79,153830.45,18795671.27,58349.26,2933.34,0.05,7769,2648,20572312,10070.645,3543.65,0.457,0.05
19,3.284,4.172,8.424,9,5.169,2.157,574.33,4187.62,43435.01,4933.85,151057.9,18851538.61,35559.9,2621.53,0.074,4914,5204,25572456,9143.354,2746.438,-0.239,0.074
20,1.303,4.971,6.716,9,2.794,1.811,310.44,4424.46,30425.15,4103.44,119840.99,13749403.08,29578.6,2336.36,0.079,5461,2880,15727680,7914.457,3521.721,0.438,0.079
21,1.035,4.871,6.07,9,2.68,1.848,297.78,4066.94,33805.33,4165.45,123077.51,13723840.28,24651.66,2907.18,0.118,3862,2956,11416072,10977.966,3257.765,0.45,0.118
22,1.085,4.262,5.958,9,2.432,2.112,270.22,4068.67,57592.05,6341.19,138890.43,15668730.32,26224.45,698.15,0.027,6250,2019,12618750,9648.988,2879.737,0.429,0.027
23,1.428,4.911,6.747,10,3.407,2.036,340.7,3697.03,18613.17,3102.23,109785.68,12660088.85,25097.66,1096.4,0.044,4186,1852,7752472,8202.295,2762.115,0.306,0.044
24,1.195,9.266,10.72,15,4.899,1.619,326.6,4891.9,43963.33,5420.25,157951.63,18797002.67,52335.69,9144.07,0.175,8992,3939,35419488,8187.202,3142.82,0.471,0.175
25,1.601,3.519,5.592,10,3.122,2.842,312.2,5498.67,37406.42,5564.38,220607.34,26762269.3,30814.0,1352.02,0.044,4860,2266,11012760,7626.916,2468.0,0.113,0.044
26,1.051,4.286,5.993,12,2.938,2.8,244.83,4465.14,43345.7,5762.18,137077.56,15348088.48,26723.91,4924.81,0.184,3820,5733,21900060,7800.559,3026.898,0.315,0.184
27,1.173,4.168,5.634,10,2.961,2.399,296.1,3282.29,38862.32,3119.71,108819.98,11853996.1,18402.26,1875.2,0.102,3129,1377,4308633,8442.413,2235.439,0.29,0.102
28,3.485,4.222,8.081,9,4.66,2.132,517.78,4000.9,45035.1,4658.61,135659.01,16618304.24,35028.33,9754.13,0.278,10595,3134,33204730,9179.993,3544.724,-0.104,0.278
29,1.774,9.151,11.07,21,4.649,2.295,221.38,2493.6,17822.74,2725.42,82453.89,9164436.36,27658.79,2605.34,0.094,4989,1918,9568902,9957.793,3366.001,0.492,0.094
30,1.15,8.716,10.056,22,4.676,2.524,212.55,3930.06,32179.5,4340.54,123121.27,15419593.05,39677.65,2623.49,0.066,5878,2742,16117476,8659.6,3379.156,0.464,0.066
31,1.225,5.933,7.297,13,2.651,2.191,203.92,4144.17,28151.91,3665.62,137772.76,16236456.66,30306.54,1988.37,0.066,5547,1991,11044077,8822.888,3816.229,0.553,0.066
